Cohort Year,School,Conference,Sport,State,GSR,FGR,GSR Report,FGR Report,PDF_URL
2017,Hofstra University,Coastal Athletic Association,Overall,NY,97,68,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/283.pdf?v=1748710721067
2017,College of the Holy Cross,Patriot League,Overall,MA,98,89,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/285.pdf?v=1748710721067
2017,Houston Christian University,Southland Conference,Overall,TX,87,70,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/287.pdf?v=1748710721067
2017,University of Houston,Big 12 Conference,Overall,TX,82,64,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/288.pdf?v=1748710721067
2017,Howard University,Mid-Eastern Athletic Conf.,Overall,DC,80,68,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/290.pdf?v=1748710721067
2017,Idaho State University,Big Sky Conference,Overall,ID,87,61,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/294.pdf?v=1748710721067
2017,University of Idaho,Big Sky Conference,Overall,ID,94,68,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/295.pdf?v=1748710721067
2017,Illinois State University,Missouri Valley Conference,Overall,IL,90,69,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/299.pdf?v=1748710721067
2017,University of Illinois Urbana-Champaign,Big Ten Conference,Overall,IL,93,79,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/301.pdf?v=1748710721067
2017,University of Illinois Chicago,Missouri Valley Conference,Overall,IL,92,75,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/302.pdf?v=1748710721067
2017,Indiana State University,Missouri Valley Conference,Overall,IN,84,61,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/305.pdf?v=1748710721067
2017,"Indiana University, Bloomington",Big Ten Conference,Overall,IN,91,70,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/306.pdf?v=1748710721067
2017,Purdue University Fort Wayne,Horizon League,Overall,IN,89,63,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/308.pdf?v=1748710721067
2017,Iona University,Metro Atlantic Athletic Conference,Overall,NY,91,74,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/310.pdf?v=1748710721067
2017,Iowa State University,Big 12 Conference,Overall,IA,95,68,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/311.pdf?v=1748710721067
2017,University of Iowa,Big Ten Conference,Overall,IA,88,72,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/312.pdf?v=1748710721067
2017,Jackson State University,Southwestern Athletic Conf.,Overall,MS,87,56,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/314.pdf?v=1748710721067
2017,Jacksonville State University,Conference USA,Overall,AL,88,66,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/315.pdf?v=1748710721067
2017,Jacksonville University,Atlantic Sun Conference,Overall,FL,93,61,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/316.pdf?v=1748710721067
2017,James Madison University,Sun Belt Conference,Overall,VA,90,71,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/317.pdf?v=1748710721067
2017,Kansas State University,Big 12 Conference,Overall,KS,92,63,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/327.pdf?v=1748710721067
2017,University of Kansas,Big 12 Conference,Overall,KS,90,68,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/328.pdf?v=1748710721067
2017,Kent State University,Mid-American Conference,Overall,OH,90,73,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/331.pdf?v=1748710721067
2017,University of Kentucky,Southeastern Conference,Overall,KY,92,59,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/334.pdf?v=1748710721067
2017,La Salle University,Atlantic 10 Conference,Overall,PA,93,75,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/340.pdf?v=1748710721067
2017,Lafayette College,Patriot League,Overall,PA,97,84,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/342.pdf?v=1748710721067
2017,Lamar University,Southland Conference,Overall,TX,80,55,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/346.pdf?v=1748710721067
2017,Lehigh University,Patriot League,Overall,PA,97,93,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/352.pdf?v=1748710721067
2017,Liberty University,Conference USA,Overall,VA,92,69,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/355.pdf?v=1748710721067
2017,Long Island University,Northeast Conference,Overall,NY,98,67,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/361.pdf?v=1748710721067
2017,Longwood University,Big South Conference,Overall,VA,88,64,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/363.pdf?v=1748710721067
2017,Louisiana State University,Southeastern Conference,Overall,LA,89,62,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/365.pdf?v=1748710721067
2017,Louisiana Tech University,Conference USA,Overall,LA,86,58,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/366.pdf?v=1748710721067
2017,University of Louisville,Atlantic Coast Conference,Overall,KY,96,65,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/367.pdf?v=1748710721067
2017,University of Massachusetts Lowell,America East Conference,Overall,MA,93,66,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/368.pdf?v=1748710721067
2017,Loyola University Maryland,Patriot League,Overall,MD,96,79,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/369.pdf?v=1748710721067
2017,Loyola Marymount University,West Coast Conference,Overall,CA,95,74,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/370.pdf?v=1748710721067
2017,Loyola University Chicago,Atlantic 10 Conference,Overall,IL,94,71,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/371.pdf?v=1748710721067
2017,University of Maine,America East Conference,Overall,ME,81,68,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/380.pdf?v=1748710721067
2017,Manhattan University,Metro Atlantic Athletic Conference,Overall,NY,96,78,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/381.pdf?v=1748710721067
2017,Marist University,Metro Atlantic Athletic Conference,Overall,NY,98,82,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/386.pdf?v=1748710721067
2017,Marquette University,Big East Conference,Overall,WI,97,80,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/387.pdf?v=1748710721067
