School,Basketball Player #,GSR,GSR Percentage,Graduation Rate,School Checked,Overall Games,Overall Wins,Overall Losses,W-L%
University of Oregon,11,100-b,1,11,#N/A,#N/A,#N/A,#N/A,#N/A
University of Pennsylvania,0,100-d,1,0,#N/A,#N/A,#N/A,#N/A,#N/A
University of Pittsburgh,11,100-c,1,11,#N/A,#N/A,#N/A,#N/A,#N/A
University of Portland,14,100-c,1,14,#N/A,#N/A,#N/A,#N/A,#N/A
University of Rhode Island,12,95-d,0.95,11,#N/A,#N/A,#N/A,#N/A,#N/A
University of Richmond,12,92-c,0.92,11,#N/A,#N/A,#N/A,#N/A,#N/A
University of San Diego,12,100-c,1,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of San Francisco,13,100-c,1,13,#N/A,#N/A,#N/A,#N/A,#N/A
University of South Alabama,15,79-c,0.79,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of South Carolina Columbia,11,100-b,1,11,#N/A,#N/A,#N/A,#N/A,#N/A
University of South Carolina Upstate,14,87-c,0.87,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of South Dakota,13,100-c,1,13,#N/A,#N/A,#N/A,#N/A,#N/A
University of South Florida,15,92-c,0.92,14,#N/A,#N/A,#N/A,#N/A,#N/A
University of Southern California,14,100-c,1,14,#N/A,#N/A,#N/A,#N/A,#N/A
University of Tennessee Knoxville,4,91-c,0.91,4,#N/A,#N/A,#N/A,#N/A,#N/A
University of Tennessee at Chattanooga,14,100-c,1,14,#N/A,#N/A,#N/A,#N/A,#N/A
University of Tennessee at Martin,15,100-b,1,15,#N/A,#N/A,#N/A,#N/A,#N/A
University of Texas at Arlington,15,100-c,1,15,#N/A,#N/A,#N/A,#N/A,#N/A
University of Texas at Austin,15,85-c,0.85,13,#N/A,#N/A,#N/A,#N/A,#N/A
University of Texas at El Paso,15,92-c,0.92,14,#N/A,#N/A,#N/A,#N/A,#N/A
University of Texas at San Antonio,13,92-c,0.92,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of Toledo,13,92-c,0.92,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of Utah,13,93-c,0.93,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of Vermont,12,100-d,1,12,#N/A,#N/A,#N/A,#N/A,#N/A
University of Virginia,10,100-c,1,10,#N/A,#N/A,#N/A,#N/A,#N/A
University of Washington,12,100-b,1,12,#N/A,#N/A,#N/A,#N/A,#N/A
