School,GSR,GSR Percentage,School_2,Overall G,Overall W,Overall L,Overall W-L%,Unnamed: 8,Win Category
Saint Francis University,100-c,1.0,Saint Francis (PA),30.0,8.0,22.0,0.267,,3.0
Saint Joseph's University,91-c,0.91,Saint Joseph's,35.0,21.0,14.0,0.6,,3.0
Saint Louis University,70-b,0.7,Saint Louis,33.0,13.0,20.0,0.394,,4.0
Saint Mary's College of California,100-b,1.0,Saint Mary's (CA) NCAA,34.0,26.0,8.0,0.765,,4.0
Saint Peter's University,100-a,1.0,Saint Peter's NCAA,33.0,19.0,14.0,0.576,,3.0
Sam Houston State University,89-b,0.89,Sam Houston,33.0,21.0,12.0,0.636,,4.0
Samford University,100-c,1.0,Samford NCAA,35.0,29.0,6.0,0.829,,4.0
San Diego State University,73-c,0.73,Samford NCAA,35.0,29.0,6.0,0.829,,2.0
San Jose State University,85-c,0.85,San Diego State NCAA,37.0,26.0,11.0,0.703,,4.0
Santa Clara University,100-b,1.0,Santa Clara,33.0,20.0,13.0,0.606,,3.0
Seattle University,100-b,1.0,Seattle,37.0,23.0,14.0,0.622,,2.0
Seton Hall University,100-c,1.0,Seton Hall,37.0,25.0,12.0,0.676,,5.0
Siena College,75-b,0.75,Siena,32.0,4.0,28.0,0.125,,1.0
South Carolina State University,100-b,1.0,South Carolina State,32.0,14.0,18.0,0.438,,4.0
South Dakota State University,100-b,1.0,South Dakota State NCAA,35.0,22.0,13.0,0.629,,2.0
Southeast Missouri State University,86-c,0.86,Southeast Missouri State,31.0,9.0,22.0,0.29,,4.0
Southeastern Louisiana University,100-b,1.0,Southeastern Louisiana,32.0,15.0,17.0,0.469,,5.0
Southern Illinois University at Carbondale,100-c,1.0,Southern Illinois,32.0,19.0,13.0,0.594,,3.0
Southern Illinois University Edwardsville,92-c,0.92,SIU Edwardsville,33.0,17.0,16.0,0.515,,3.0
Southern Methodist University,80-b,0.8,Southern Methodist,33.0,20.0,13.0,0.606,,4.0
Southern University Baton Rouge,55-c,0.55,Southern,32.0,18.0,14.0,0.563,,5.0
Southern Utah University,82-c,0.82,Southern Utah,31.0,10.0,21.0,0.323,,3.0
St. Bonaventure University,88-b,0.88,St. Bonaventure,33.0,20.0,13.0,0.606,,1.0
St. John's University (New York),77-c,0.77,St. John's (NY),33.0,20.0,13.0,0.606,,2.0
Stanford University,100-c,1.0,Stanford,32.0,14.0,18.0,0.438,,3.0
