School,GSR,GSR Percentage ,School_2,Overall G,Overall W,Overall L,Overall W-L%,Win Category
University of Central Florida,94-d,0.94,UCF,29,12,17,0.414,3.0
University of Cincinnati,92-c,0.92,Cincinnati,32,14,18,0.438,3.0
University of Colorado Boulder,100-b,1.0,Colorado NCAA,34,24,10,0.706,2.0
University of Connecticut,100-b,1.0,Connecticut NCAA,39,33,6,0.846,1.0
University of Dayton,100-c,1.0,Dayton NCAA,31,12,19,0.387,4.0
University of Delaware,88-d,0.88,Delaware,31,11,20,0.355,4.0
University of Denver,87-c,0.87,Denver,30,8,22,0.267,4.0
University of Detroit Mercy,92-c,0.92,Detroit Mercy,33,17,16,0.515,3.0
University of Evansville,93-c,0.93,Evansville,32,4,28,0.125,5.0
University of Florida,100-c,1.0,Florida NCAA,32,16,16,0.5,3.0
University of Georgia,93-c,0.93,Georgia,30,12,18,0.4,3.0
University of Hawaii Manoa,87-c,0.87,Hawaii,31,20,11,0.645,2.0
University of Houston,81-d,0.81,Houston NCAA,30,14,16,0.467,3.0
University of Idaho,100-c,1.0,Idaho,31,15,16,0.484,3.0
University of Illinois Chicago,92-c,0.92,Illinois-Chicago,34,18,16,0.529,3.0
University of Iowa,85-c,0.85,Iowa,39,34,5,0.872,1.0
University of Kansas,94-d,0.94,Kansas NCAA,33,20,13,0.606,2.0
University of Kentucky,100-c,1.0,Kentucky NCAA,32,12,20,0.375,4.0
University of Louisiana at Lafayette,100-c,1.0,Louisiana,31,17,14,0.548,3.0
University of Louisiana Monroe,80-c,0.8,Louisiana-Monroe,35,21,14,0.6,2.0
University of Louisville,100-b,1.0,Louisville,34,24,10,0.706,2.0
University of Maine,92-c,0.92,Maine,34,24,10,0.706,2.0
University of Maryland Baltimore County,92-c,0.92,Maryland-Baltimore County,29,10,19,0.345,4.0
University of Maryland College Park,100-c,1.0,Maryland,33,19,14,0.576,3.0
University of Maryland Eastern Shore,92-c,0.92,Maryland-Eastern Shore,30,15,15,0.5,3.0
University of Massachusetts Amherst,100-b,1.0,Massachusetts,32,5,27,0.156,5.0
University of Massachusetts Lowell,93-c,0.93,Massachusetts-Lowell,29,4,25,0.138,5.0
University of Memphis,100-c,1.0,Memphis,30,13,17,0.433,3.0
University of Miami (Florida),100-c,1.0,Miami (FL),31,19,12,0.613,2.0
University of Michigan,100-c,1.0,Michigan,34,20,14,0.588,3.0
University of Minnesota Twin Cities,100-c,1.0,Minnesota,36,20,16,0.556,3.0
University of Mississippi,100-b,1.0,Mississippi,33,24,9,0.727,2.0
University of Missouri Columbia,100-c,1.0,Missouri,30,11,19,0.367,4.0
University of Missouri-Kansas City,93-c,0.93,Kansas City,32,12,20,0.375,4.0
University of Montana,91-c,0.91,Montana,33,23,10,0.697,2.0
University of Nebraska at Omaha,93-c,0.93,Omaha,31,8,23,0.258,4.0
University of Nebraska-Lincoln,100-c,1.0,Nebraska NCAA,35,23,12,0.657,2.0
University of Nevada Las Vegas,87-c,0.87,Nevada-Las Vegas,33,30,3,0.909,1.0
University of Nevada Reno,89-b,0.89,Nevada NCAA,32,16,16,0.5,3.0
University of New Hampshire,100-c,1.0,New Hampshire,29,9,20,0.31,4.0
University of New Mexico,83-c,0.83,New Mexico NCAA,32,21,11,0.656,2.0
University of New Orleans,83-d,0.83,New Orleans,30,11,19,0.367,4.0
University of North Alabama,85-d,0.85,North Alabama,30,12,18,0.4,3.0
University of North Carolina Asheville,100-c,1.0,UNC Asheville,31,11,20,0.355,4.0
University of North Carolina Chapel Hill,100-c,1.0,North Carolina NCAA,33,20,13,0.606,2.0
University of North Carolina Wilmington,93-c,0.93,UNC Wilmington,30,5,25,0.167,5.0
University of North Dakota,93-c,0.93,North Dakota,30,9,21,0.3,4.0
University of North Florida,94-d,0.94,North Florida,30,9,21,0.3,4.0
University of North Texas,95-d,0.95,North Texas,32,23,9,0.719,2.0
University of Northern Colorado,100-b,1.0,Northern Colorado,31,15,16,0.484,3.0
University of Northern Iowa,100-c,1.0,Northern Iowa,32,16,16,0.5,3.0
University of Notre Dame,100-b,1.0,Notre Dame,35,28,7,0.8,1.0
University of Oklahoma,100-b,1.0,Oklahoma,33,23,10,0.697,2.0
University of Oregon,100-b,1.0,Oregon NCAA,32,11,21,0.344,4.0
University of Pennsylvania,100-d,1.0,Pennsylvania,28,15,13,0.536,3.0
University of Pittsburgh,100-c,1.0,Pittsburgh,32,8,24,0.25,4.0
University of Portland,100-c,1.0,Portland,34,21,13,0.618,2.0
University of Rhode Island,95-d,0.95,Rhode Island,35,21,14,0.6,2.0
University of Richmond,92-c,0.92,Richmond,35,29,6,0.829,1.0
University of San Diego,100-c,1.0,San Diego,31,9,22,0.29,4.0
University of San Francisco,100-c,1.0,San Francisco,30,14,16,0.467,3.0
University of South Alabama,79-c,0.79,South Alabama,32,9,23,0.281,4.0
University of South Carolina Columbia,100-b,1.0,South Carolina NCAA,38,38,0,1.0,
University of South Carolina Upstate,87-c,0.87,South Carolina Upstate,32,16,16,0.5,3.0
University of South Dakota,100-c,1.0,South Dakota,36,23,13,0.639,2.0
University of South Florida,92-c,0.92,South Florida,33,19,14,0.576,3.0
University of Southern California,100-c,1.0,Southern California,35,29,6,0.829,1.0
