School,Metric,All Students 2013-14,All Students 2023-24,Student-Athletes 2013-14,Student-Athletes 2023-24
Coppin State University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Coppin State University,Four-Class Average,26%,15%,40%,43%
Cornell University,Student-Athlete Graduation Success Rate,,,98%,95%
Cornell University,2007-08 Graduation Rate,,93%,,-
Cornell University,2017-18 Graduation Rate,95%,,-,
Cornell University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Cornell University,Four-Class Average,95%,93%,-,-
Cornell University,FRESHMAN-COHORT GRADUATION RATES All Students Student-Ath,,,letes,
Creighton University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Creighton University,Student-Athlete Graduation Success Rate,,,97%,96%
Creighton University,2007-08 Graduation Rate,,76%,,65%
Creighton University,2017-18 Graduation Rate,81%,,73%,
Creighton University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Creighton University,Four-Class Average,80%,76%,65%,74%
Dartmouth College,Student-Athlete Graduation Success Rate,,,97%,99%
Dartmouth College,2007-08 Graduation Rate,,95%,,-
Dartmouth College,2017-18 Graduation Rate,97%,,-,
Dartmouth College,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Dartmouth College,Four-Class Average,95%,95%,-,-
Dartmouth College,FRESHMAN-COHORT GRADUATION RATES All Students Student-Ath,,,letes,
Davidson College,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Davidson College,Student-Athlete Graduation Success Rate,,,98%,98%
Davidson College,2007-08 Graduation Rate,,93%,,88%
Davidson College,2017-18 Graduation Rate,92%,,95%,
Davidson College,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Davidson College,Four-Class Average,91%,92%,93%,91%
DePaul University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
DePaul University,Student-Athlete Graduation Success Rate,,,95%,92%
