Cohort Year,School,Conference,Sport,State,GSR,FGR,GSR Report,FGR Report,PDF_URL
2007,Hampton University,Mid-Eastern Athletic Conf.,Overall,VA,64,62,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/270.pdf?v=1750871843630
2007,University of Hartford,America East Conference,Overall,CT,,67,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/272.pdf?v=1750871843630
2007,Harvard University,The Ivy League,Overall,MA,98,,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/275.pdf?v=1750871843630
2007,"University of Hawaii, Manoa",Big West Conference,Overall,HI,76,57,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/277.pdf?v=1750871843630
2007,Hofstra University,Coastal Athletic Association,Overall,NY,87,69,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/283.pdf?v=1750871843630
2007,College of the Holy Cross,Patriot League,Overall,MA,99,91,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/285.pdf?v=1750871843630
2007,Houston Christian University,Southland Conference,Overall,TX,87,57,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/287.pdf?v=1750871843630
2007,University of Houston,American Athletic Conference,Overall,TX,63,47,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/288.pdf?v=1750871843630
2007,Howard University,Mid-Eastern Athletic Conf.,Overall,DC,66,67,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/290.pdf?v=1750871843630
2007,Idaho State University,Big Sky Conference,Overall,ID,61,43,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/294.pdf?v=1750871843630
2007,University of Idaho,Western Athletic Conference,Overall,ID,78,60,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/295.pdf?v=1750871843630
2007,Illinois State University,Missouri Valley Conference,Overall,IL,87,70,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/299.pdf?v=1750871843630
2007,University of Illinois Urbana-Champaign,Big Ten Conference,Overall,IL,88,76,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/301.pdf?v=1750871843630
2007,University of Illinois Chicago,Horizon League,Overall,IL,83,68,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/302.pdf?v=1750871843630
2007,Indiana State University,Missouri Valley Conference,Overall,IN,60,54,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/305.pdf?v=1750871843630
2007,"Indiana University, Bloomington",Big Ten Conference,Overall,IN,84,66,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/306.pdf?v=1750871843630
2007,Purdue University Fort Wayne,The Summit League,Overall,IN,82,61,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/308.pdf?v=1750871843630
2007,Iona University,Metro Atlantic Athletic Conference,Overall,NY,87,66,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/310.pdf?v=1750871843630
2007,Iowa State University,Big 12 Conference,Overall,IA,77,61,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/311.pdf?v=1750871843630
2007,University of Iowa,Big Ten Conference,Overall,IA,89,75,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/312.pdf?v=1750871843630
2007,Jackson State University,Southwestern Athletic Conf.,Overall,MS,60,51,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/314.pdf?v=1750871843630
2007,Jacksonville State University,Ohio Valley Conference,Overall,AL,68,49,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/315.pdf?v=1750871843630
2007,Jacksonville University,Atlantic Sun Conference,Overall,FL,78,57,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/316.pdf?v=1750871843630
2007,James Madison University,Coastal Athletic Association,Overall,VA,81,74,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/317.pdf?v=1750871843630
2007,Kansas State University,Big 12 Conference,Overall,KS,79,63,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/327.pdf?v=1750871843630
2007,University of Kansas,Big 12 Conference,Overall,KS,85,71,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/328.pdf?v=1750871843630
2007,Kent State University,Mid-American Conference,Overall,OH,78,67,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/331.pdf?v=1750871843630
2007,University of Kentucky,Southeastern Conference,Overall,KY,81,58,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/334.pdf?v=1750871843630
2007,La Salle University,Atlantic 10 Conference,Overall,PA,88,70,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/340.pdf?v=1750871843630
2007,Lafayette College,Patriot League,Overall,PA,97,88,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/342.pdf?v=1750871843630
2007,Lamar University,Southland Conference,Overall,TX,71,45,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/346.pdf?v=1750871843630
2007,Lehigh University,Patriot League,Overall,PA,92,83,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/352.pdf?v=1750871843630
2007,Liberty University,Big South Conference,Overall,VA,78,68,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/355.pdf?v=1750871843630
2007,Long Island University,Northeast Conference,Overall,NY,84,67,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/361.pdf?v=1750871843630
2007,Longwood University,Big South Conference,Overall,VA,84,68,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/363.pdf?v=1750871843630
2007,Louisiana State University,Southeastern Conference,Overall,LA,81,60,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/365.pdf?v=1750871843630
2007,Louisiana Tech University,Conference USA,Overall,LA,81,60,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/366.pdf?v=1750871843630
2007,University of Louisville,American Athletic Conference,Overall,KY,80,61,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/367.pdf?v=1750871843630
2007,University of Massachusetts Lowell,America East Conference,Overall,MA,78,68,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/368.pdf?v=1750871843630
2007,Loyola University Maryland,Patriot League,Overall,MD,95,82,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/369.pdf?v=1750871843630
2007,Loyola Marymount University,West Coast Conference,Overall,CA,91,71,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/370.pdf?v=1750871843630
2007,Loyola University Chicago,Missouri Valley Conference,Overall,IL,96,81,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/371.pdf?v=1750871843630
2007,University of Maine,America East Conference,Overall,ME,90,65,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/380.pdf?v=1750871843630
2007,Manhattan University,Metro Atlantic Athletic Conference,Overall,NY,91,77,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/381.pdf?v=1750871843630
2007,Marist University,Metro Atlantic Athletic Conference,Overall,NY,86,78,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/386.pdf?v=1750871843630
2007,Marquette University,Big East Conference,Overall,WI,90,77,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/387.pdf?v=1750871843630
2007,Marshall University,Conference USA,Overall,WV,74,56,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/388.pdf?v=1750871843630
2007,"University of Maryland, Baltimore County",America East Conference,Overall,MD,79,65,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/391.pdf?v=1750871843630
2007,"University of Maryland, College Park",Atlantic Coast Conference,Overall,MD,86,70,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/392.pdf?v=1750871843630
2007,University of Maryland Eastern Shore,Mid-Eastern Athletic Conf.,Overall,MD,88,43,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/393.pdf?v=1750871843630
2007,"University of Massachusetts, Amherst",Atlantic 10 Conference,Overall,MA,82,66,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/400.pdf?v=1750871843630
2007,McNeese State University,Southland Conference,Overall,LA,71,55,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/402.pdf?v=1750871843630
