Race,val1_All,val2_All,val3_All,val4_All,val5_All,val6_All,val7_All,val8_All,val9_All,val10_All,val11_All,val12_All,Source_All,School_All,val1_SA,val2_SA,val3_SA,val4_SA,val5_SA,val6_SA,val7_SA,val8_SA,val9_SA,val10_SA,val11_SA,val12_SA,val13,val14,val15,val16,val17,val18,Source_SA,School_SA,val19,val20,val21,val22,val23,val24,val25,val26,val27,val28,val29,val30,val31,val32,val33,val34,val35,val36,val37,val38,val39,val40,val41,val42,val43,val44,val45,val46,val47,val48,val49,val50
N-R Alien,39,90,104,90,29,83,81,90,68,87,185,90,All Students,Vanderbilt University,3,33,***,***,***,***,0,-,***,***,***,***,3,33,***,***,***,***,Student-Athletes,Vanderbilt University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,7,71,13,85,8,100,13,100,15,87,26,92,All Students,Vanderbilt University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Vanderbilt University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,372,91,***,***,357,91,***,***,729,91,All Students,Vanderbilt University,***,***,13,69,10,100,***,***,6,67,4,100,***,***,19,68,14,100,Student-Athletes,Vanderbilt University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,446,93,1964,93,544,95,2158,93,990,94,4122,93,All Students,Vanderbilt University,15,73,72,71,56,93,24,100,81,91,76,100,39,90,153,82,132,97,Student-Athletes,Vanderbilt University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,742,92,3056,91,929,93,3421,92,1671,93,6477,92,All Students,Vanderbilt University,33,70,153,67,124,85,28,93,101,87,94,98,61,80,254,75,218,90,Student-Athletes,Vanderbilt University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,***,***,3,100,***,***,5,40,***,***,8,63,All Students,Villanova University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Villanova University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,37,92,187,87,55,98,239,88,92,96,426,88,All Students,Villanova University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Villanova University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,29,93,114,84,31,87,123,89,60,90,237,86,All Students,Villanova University,13,92,42,86,37,100,4,75,5,80,5,100,17,88,47,85,42,100,Student-Athletes,Villanova University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,50,90,203,81,62,92,231,92,112,91,434,87,All Students,Villanova University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Villanova University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Villanova University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Villanova University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,21,81,52,81,18,94,64,89,39,87,116,85,All Students,Villanova University,***,***,7,57,6,83,***,***,8,88,7,100,***,***,15,73,13,92,Student-Athletes,Villanova University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,6,100,17,100,17,94,29,97,23,96,46,98,All Students,Villanova University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Villanova University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,7,100,***,***,8,75,***,***,15,87,***,***,All Students,Villanova University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Villanova University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,632,89,2574,89,627,90,2524,91,1259,90,5098,90,All Students,Villanova University,15,93,76,86,108,93,19,95,89,93,115,97,34,94,165,90,223,95,Student-Athletes,Villanova University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,784,90,3212,88,819,91,3302,91,1603,90,6514,90,All Students,Villanova University,33,91,131,85,159,94,26,92,105,92,132,98,59,92,236,88,291,96,Student-Athletes,Villanova University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,11,64,31,55,9,56,46,57,20,60,77,56,All Students,Virginia Commonwealth University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Virginia Commonwealth University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,247,58,771,60,258,68,881,69,505,63,1652,64,All Students,Virginia Commonwealth University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Virginia Commonwealth University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,220,53,833,47,562,59,1899,57,782,57,2732,54,All Students,Virginia Commonwealth University,7,43,20,55,24,67,7,57,33,73,31,87,14,50,53,66,55,78,Student-Athletes,Virginia Commonwealth University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,70,47,226,42,87,59,315,57,157,54,541,51,All Students,Virginia Commonwealth University,3,33,9,44,8,50,0,-,0,-,0,-,3,33,9,44,8,50,Student-Athletes,Virginia Commonwealth University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Virginia Commonwealth University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Virginia Commonwealth University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,62,42,158,48,46,52,193,53,108,46,351,51,All Students,Virginia Commonwealth University,3,67,7,86,30,83,4,25,13,31,16,81,7,43,20,50,46,83,Student-Athletes,Virginia Commonwealth University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,21,43,0,-,42,76,0,-,63,65,All Students,Virginia Commonwealth University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Virginia Commonwealth University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,127,58,424,34,209,64,632,44,336,62,1056,40,All Students,Virginia Commonwealth University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Virginia Commonwealth University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,908,53,3338,49,1034,58,4319,58,1942,56,7657,54,All Students,Virginia Commonwealth University,9,56,32,41,30,67,6,50,39,44,33,76,15,53,71,42,63,71,Student-Athletes,Virginia Commonwealth University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1645,53,5802,49,2205,60,8327,58,3850,57,14129,54,All Students,Virginia Commonwealth University,23,48,70,50,95,71,18,50,89,54,85,81,41,49,159,52,180,76,Student-Athletes,Virginia Commonwealth University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,3,100,8,38,0,-,0,-,3,100,8,38,All Students,Virginia Military Institute,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Virginia Military Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,20,85,43,81,3,67,8,63,23,83,51,78,All Students,Virginia Military Institute,3,67,3,67,5,100,0,-,0,-,0,-,3,67,3,67,5,100,Student-Athletes,Virginia Military Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,22,77,80,58,5,60,13,46,27,74,93,56,All Students,Virginia Military Institute,***,***,58,53,47,66,***,***,6,50,6,50,***,***,64,53,53,64,Student-Athletes,Virginia Military Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,***,***,44,68,***,***,11,64,***,***,55,67,All Students,Virginia Military Institute,***,***,4,25,3,67,***,***,4,100,4,100,***,***,8,63,7,86,Student-Athletes,Virginia Military Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,***,***,0,-,***,***,0,-,***,***,All Students,Virginia Military Institute,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Virginia Military Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Virginia Military Institute,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Virginia Military Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Virginia Military Institute,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Virginia Military Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Virginia Military Institute,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Virginia Military Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,309,76,1187,74,25,72,99,68,334,75,1286,73,All Students,Virginia Military Institute,39,77,133,62,140,77,6,100,19,89,20,90,45,80,152,66,160,79,Student-Athletes,Virginia Military Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,374,76,1389,72,36,69,134,65,410,76,1523,72,All Students,Virginia Military Institute,61,74,204,59,200,75,9,89,30,83,31,84,70,76,234,62,231,76,Student-Athletes,Virginia Military Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,13,62,34,71,5,80,20,80,18,67,54,74,All Students,Virginia Polytechnic Institute and State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Virginia Polytechnic Institute and State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,218,82,791,77,175,90,623,88,393,85,1414,82,All Students,Virginia Polytechnic Institute and State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Virginia Polytechnic Institute and State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,99,64,419,62,90,81,300,78,189,72,719,68,All Students,Virginia Polytechnic Institute and State University,17,41,65,46,51,67,3,67,17,71,15,87,20,45,82,51,66,71,Student-Athletes,Virginia Polytechnic Institute and State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,82,71,255,72,67,79,226,83,149,74,481,77,All Students,Virginia Polytechnic Institute and State University,***,***,8,63,7,100,***,***,3,100,4,100,***,***,11,73,11,100,Student-Athletes,Virginia Polytechnic Institute and State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Virginia Polytechnic Institute and State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Virginia Polytechnic Institute and State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,60,65,259,63,32,88,96,75,92,73,355,66,All Students,Virginia Polytechnic Institute and State University,***,***,13,85,20,85,***,***,5,80,7,100,***,***,18,83,27,89,Student-Athletes,Virginia Polytechnic Institute and State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Virginia Polytechnic Institute and State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Virginia Polytechnic Institute and State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,223,81,1451,79,193,87,1062,85,416,83,2513,82,All Students,Virginia Polytechnic Institute and State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Virginia Polytechnic Institute and State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,2104,80,7976,80,1691,88,6410,86,3795,83,14386,83,All Students,Virginia Polytechnic Institute and State University,48,58,113,62,95,88,26,85,108,88,98,99,74,68,221,75,193,94,Student-Athletes,Virginia Polytechnic Institute and State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2799,79,11185,79,2253,87,8737,86,5052,83,19922,82,All Students,Virginia Polytechnic Institute and State University,71,55,214,58,187,82,32,84,145,84,133,97,103,64,359,69,320,88,Student-Athletes,Virginia Polytechnic Institute and State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,***,***,4,50,***,***,6,50,***,***,10,50,All Students,Wagner College,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,0,-,Student-Athletes,Wagner College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,3,33,13,54,9,67,22,68,12,58,35,63,All Students,Wagner College,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Wagner College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,10,60,53,68,10,40,42,50,20,50,95,60,All Students,Wagner College,***,***,27,85,31,94,***,***,12,58,12,75,***,***,39,77,43,88,Student-Athletes,Wagner College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,9,56,40,48,26,54,83,59,35,54,123,55,All Students,Wagner College,***,***,3,67,***,***,***,***,11,73,***,***,***,***,14,71,***,***,Student-Athletes,Wagner College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,5,60,0,-,8,75,0,-,13,69,All Students,Wagner College,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Wagner College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,***,***,13,54,***,***,14,57,***,***,27,56,All Students,Wagner College,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Wagner College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,3,33,3,33,4,50,4,50,7,43,7,43,All Students,Wagner College,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Wagner College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,10,0,63,57,8,0,93,57,18,0,156,57,All Students,Wagner College,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Wagner College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,156,64,595,64,269,67,1061,69,425,66,1656,67,All Students,Wagner College,21,67,82,67,64,91,37,70,131,73,105,93,58,69,213,71,169,92,Student-Athletes,Wagner College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,196,59,789,62,332,63,1333,66,528,61,2122,65,All Students,Wagner College,31,71,113,72,98,92,42,69,159,72,130,92,73,70,272,72,228,92,Student-Athletes,Wagner College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,***,***,8,50,***,***,19,79,***,***,27,70,All Students,Wake Forest University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Wake Forest University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,26,85,116,86,29,83,101,86,55,84,217,86,All Students,Wake Forest University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Wake Forest University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,45,82,152,82,27,81,139,82,72,82,291,82,All Students,Wake Forest University,16,75,59,73,55,85,3,100,12,83,10,100,19,79,71,75,65,88,Student-Athletes,Wake Forest University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,16,94,41,83,21,86,58,88,37,89,99,86,All Students,Wake Forest University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Wake Forest University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Wake Forest University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Wake Forest University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,9,67,26,77,6,83,30,83,15,73,56,80,All Students,Wake Forest University,0,-,4,75,6,100,0,-,10,70,8,100,0,-,14,71,14,100,Student-Athletes,Wake Forest University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,***,***,0,-,***,***,0,-,***,***,All Students,Wake Forest University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Wake Forest University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Wake Forest University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Wake Forest University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,452,87,1825,88,484,87,1898,89,936,87,3723,88,All Students,Wake Forest University,20,75,99,77,87,97,21,81,77,82,67,97,41,78,176,79,154,97,Student-Athletes,Wake Forest University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,550,87,2199,87,573,86,2268,88,1123,86,4467,88,All Students,Wake Forest University,37,76,170,76,156,92,26,81,101,80,86,98,63,78,271,77,242,94,Student-Athletes,Wake Forest University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,14,71,62,50,17,82,75,71,31,77,137,61,All Students,Washington State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Washington State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,106,52,395,52,90,62,365,67,196,57,760,59,All Students,Washington State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Washington State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,34,47,121,46,21,71,117,65,55,56,238,55,All Students,Washington State University,11,64,37,41,43,49,6,67,17,59,15,73,17,65,54,46,58,55,Student-Athletes,Washington State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,76,54,254,58,93,71,300,68,169,63,554,63,All Students,Washington State University,3,67,9,56,11,64,0,-,10,90,11,82,3,67,19,74,22,73,Student-Athletes,Washington State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,6,67,23,83,8,63,24,83,14,64,47,83,All Students,Washington State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Washington State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,23,52,70,57,29,59,72,68,52,56,142,63,All Students,Washington State University,0,-,4,75,5,80,12,67,27,74,26,88,12,67,31,74,31,87,Student-Athletes,Washington State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,20,65,35,66,16,63,43,77,36,64,78,72,All Students,Washington State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Washington State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,84,52,296,61,79,73,277,73,163,63,573,67,All Students,Washington State University,***,***,***,***,8,88,***,***,***,***,4,75,***,***,***,***,12,83,Student-Athletes,Washington State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,1233,63,4571,65,1235,71,4704,72,2468,67,9275,68,All Students,Washington State University,23,39,94,67,87,79,15,53,85,72,71,92,38,45,179,69,158,85,Student-Athletes,Washington State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1596,61,5827,63,1588,70,5977,71,3184,65,11804,67,All Students,Washington State University,41,51,157,59,164,70,35,60,147,71,133,87,76,55,304,65,297,77,Student-Athletes,Washington State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,8,38,14,21,7,29,11,36,15,33,25,28,All Students,Weber State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Weber State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,25,24,47,36,19,37,50,38,44,30,97,37,All Students,Weber State University,***,***,***,***,5,20,***,***,***,***,0,-,***,***,***,***,5,20,Student-Athletes,Weber State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,6,17,30,17,11,9,23,26,17,12,53,21,All Students,Weber State University,***,***,17,35,22,50,***,***,4,50,3,67,***,***,21,38,25,52,Student-Athletes,Weber State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,33,12,80,21,44,25,123,29,77,19,203,26,All Students,Weber State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Weber State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Weber State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Weber State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,18,28,54,26,20,30,58,31,38,29,112,29,All Students,Weber State University,***,***,8,50,7,71,***,***,5,80,6,100,***,***,13,62,13,85,Student-Athletes,Weber State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Weber State University,***,***,4,75,6,67,***,***,3,67,3,67,***,***,7,71,9,67,Student-Athletes,Weber State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Weber State University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Weber State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,351,30,933,35,530,42,1323,49,881,37,2256,43,All Students,Weber State University,12,50,47,55,60,63,17,47,89,54,77,77,29,48,136,54,137,71,Student-Athletes,Weber State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,581,28,1600,33,783,39,2149,46,1364,35,3749,40,All Students,Weber State University,20,50,85,48,111,56,22,45,103,54,91,78,42,48,188,52,202,66,Student-Athletes,Weber State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,7,14,40,43,10,30,40,38,17,24,80,40,All Students,West Virginia University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,West Virginia University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,58,48,185,54,32,53,136,60,90,50,321,56,All Students,West Virginia University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,West Virginia University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,82,38,312,35,68,47,259,46,150,42,571,40,All Students,West Virginia University,14,57,46,59,50,68,4,50,9,56,14,79,18,56,55,58,64,70,Student-Athletes,West Virginia University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,57,46,175,45,43,56,138,60,100,50,313,51,All Students,West Virginia University,***,***,3,33,***,***,***,***,3,67,***,***,***,***,6,50,***,***,Student-Athletes,West Virginia University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,West Virginia University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,West Virginia University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,27,56,104,53,11,73,48,81,38,61,152,62,All Students,West Virginia University,***,***,12,75,13,85,***,***,17,82,20,95,***,***,29,79,33,91,Student-Athletes,West Virginia University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,West Virginia University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,West Virginia University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,44,50,106,51,35,54,91,63,79,52,197,56,All Students,West Virginia University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,West Virginia University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,2217,54,8833,54,1935,63,7677,63,4152,58,16510,58,All Students,West Virginia University,21,43,99,55,81,83,17,88,83,73,70,90,38,63,182,63,151,86,Student-Athletes,West Virginia University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2492,53,9755,53,2134,62,8389,62,4626,57,18144,57,All Students,West Virginia University,36,47,167,57,152,78,26,85,118,75,114,89,62,63,285,65,266,83,Student-Athletes,West Virginia University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,8,25,37,22,12,83,33,52,20,60,70,36,All Students,Western Carolina University,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,0,-,Student-Athletes,Western Carolina University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,0,-,6,17,0,-,4,25,0,-,10,20,All Students,Western Carolina University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Western Carolina University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,48,31,224,42,28,61,140,58,76,42,364,48,All Students,Western Carolina University,20,35,73,41,74,59,7,57,27,70,31,90,27,41,100,49,105,69,Student-Athletes,Western Carolina University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,12,17,55,35,10,40,35,51,22,27,90,41,All Students,Western Carolina University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Western Carolina University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Western Carolina University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Western Carolina University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,***,***,5,60,***,***,13,54,***,***,18,56,All Students,Western Carolina University,0,-,***,***,***,***,3,33,***,***,***,***,3,33,***,***,***,***,Student-Athletes,Western Carolina University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Western Carolina University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Western Carolina University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,125,46,***,***,120,51,***,***,245,48,All Students,Western Carolina University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Western Carolina University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,491,45,2482,48,554,60,2673,58,1045,53,5155,53,All Students,Western Carolina University,22,41,91,49,75,84,17,53,98,64,71,97,39,46,189,57,146,90,Student-Athletes,Western Carolina University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,602,44,2934,47,649,59,3018,57,1251,52,5952,52,All Students,Western Carolina University,42,38,171,46,157,72,28,54,133,65,109,95,70,44,304,54,266,82,Student-Athletes,Western Carolina University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,6,17,14,36,5,60,20,50,11,36,34,44,All Students,Western Illinois University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Western Illinois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,15,47,51,49,14,43,59,51,29,45,110,50,All Students,Western Illinois University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Western Illinois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
