School,4-Class,GSR Rate,School 2 (For some),Overall G,Overall W,Overall L,Overall W-L%
Valparaiso University,90-b,0.9,Valparaiso,34,18,16,0.529
Vanderbilt University,82-c,0.82,Vanderbilt,31,15,16,0.484
Villanova University,100-b,1,Villanova NCAA,34,29,5,0.853
Virginia Commonwealth University,87-c,0.87,Virginia Commonwealth NCAA,35,26,9,0.743
Virginia Polytechnic Institute and State University,82-c,0.82,Virginia Tech,31,9,22,0.29
Wagner College,92-c,0.92,Wagner,31,19,12,0.613
Wake Forest University,80-b,0.8,Wake Forest,33,17,16,0.515
Washington State University,71-c,0.71,Washington State,31,10,21,0.323
Weber State University,85-c,0.85,Weber State NCAA,31,19,12,0.613
West Virginia University,89-b,0.89,West Virginia,33,17,16,0.515
Western Carolina University,80-c,0.8,Western Carolina,34,19,15,0.559
Western Illinois University,72-d,0.72,Western Illinois,30,10,20,0.333
Western Kentucky University,87-c,0.87,Western Kentucky,32,20,12,0.625
Western Michigan University,100-b,1,Western Michigan NCAA,33,23,10,0.697
Wichita State University,64-c,0.64,Wichita State NCAA,36,35,1,0.972
William & Mary,87-c,0.87,William & Mary,32,20,12,0.625
Winthrop University,100-c,1,Winthrop,33,20,13,0.606
Wofford College,91-c,0.91,Wofford NCAA,33,20,13,0.606
Wright State University,61-d,0.61,Wright State,36,21,15,0.583
Xavier University,89-b,0.89,Xavier NCAA,34,21,13,0.618
Yale University,95-d,0.95,Yale,33,19,14,0.576
Youngstown State University,64-c,0.64,Youngstown State,32,15,17,0.469
