School,4-Class,GSR Rate,School,Overall G,Overall W,Overall L,Overall W-L%
University of Nebraska-Lincoln,100-c,1,Nebraska NCAA,33,26,7,0.788
University of Nevada Las Vegas,87-c,0.87,Nevada-Las Vegas,32,13,19,0.406
University of Nevada Reno,93-c,0.93,Nevada,31,18,13,0.581
University of New Hampshire,73-c,0.73,New Hampshire,31,19,12,0.613
University of New Mexico,100-c,1,New Mexico,30,11,19,0.367
University of New Orleans,65-d,0.65,New Orleans,29,0,29,0
University of North Carolina Asheville,69-c,0.69,UNC Asheville,31,11,20,0.355
University of North Carolina Chapel Hill,69-c,0.69,North Carolina NCAA,37,27,10,0.73
University of North Carolina Wilmington,86-c,0.86,UNC Wilmington,32,5,27,0.156
University of North Dakota,93-c,0.93,North Dakota NCAA,32,22,10,0.688
University of North Florida,88-d,0.88,North Florida,29,6,23,0.207
University of North Texas,76-d,0.76,North Texas,30,12,18,0.4
University of Northern Colorado,93-c,0.93,Northern Colorado,29,14,15,0.483
University of Northern Iowa,93-c,0.93,Northern Iowa,30,17,13,0.567
University of Notre Dame,100-b,1,Notre Dame NCAA,38,37,1,0.974
University of Oklahoma,100-b,1,Oklahoma NCAA,33,18,15,0.545
University of Oregon,85-c,0.85,Oregon,32,16,16,0.5
University of Pennsylvania,100-c,1,Pennsylvania NCAA,29,22,7,0.759
University of Pittsburgh,100-c,1,Pittsburgh,31,11,20,0.355
University of Portland,100-c,1,Portland,30,14,16,0.467
University of Rhode Island,93-c,0.93,Rhode Island,30,7,23,0.233
University of Richmond,92-c,0.92,Richmond,30,14,16,0.467
University of San Diego,100-c,1,San Diego,33,24,9,0.727
University of San Francisco,73-c,0.73,San Francisco,31,12,19,0.387
University of South Alabama,87-c,0.87,South Alabama,28,8,20,0.286
University of South Carolina Columbia,83-c,0.83,South Carolina NCAA,34,29,5,0.853
University of South Carolina Upstate,71-c,0.71,South Carolina Upstate,32,17,15,0.531
University of South Dakota,100-d,1,South Dakota NCAA,33,19,14,0.576
University of South Florida,100-b,1,South Florida,36,23,13,0.639
University of Southern California,75-c,0.75,Southern California NCAA,35,22,13,0.629
University of Tennessee at Chattanooga,86-c,0.86,Chattanooga NCAA,33,29,4,0.879
University of Tennessee at Martin,88-b,0.88,Tennessee-Martin NCAA,32,24,8,0.75
University of Tennessee Knoxville,100-c,1,Tennessee NCAA,35,29,6,0.829
University of Texas at Arlington,80-c,0.8,UT Arlington,29,4,25,0.138
University of Texas at Austin,90-b,0.9,Texas NCAA,34,22,12,0.647
University of Texas at El Paso,88-d,0.88,UTEP,37,29,8,0.784
University of Texas at San Antonio,75-d,0.75,UTSA,31,14,17,0.452
University of the Incarnate Word,92-e,0.92,Incarnate Word,27,8,19,0.296
University of the Pacific,83-d,0.83,Pacific,31,18,13,0.581
University of Toledo,79-c,0.79,Toledo,32,16,16,0.5
University of Utah,90-b,0.9,Utah,31,12,19,0.387
University of Vermont,93-c,0.93,Vermont,30,7,23,0.233
University of Virginia,62-c,0.62,Virginia,31,14,17,0.452
University of Washington,100-c,1,Washington,34,20,14,0.588
University of Wisconsin-Green Bay,100-c,1,Green Bay,32,22,10,0.688
University of Wisconsin-Madison,88-d,0.88,Wisconsin,29,10,19,0.345
University of Wisconsin-Milwaukee,69-c,0.69,Milwaukee,30,8,22,0.267
University of Wyoming,82-d,0.82,Wyoming,31,20,11,0.645
Utah State University,89-d,0.89,Utah State,31,15,16,0.484
Utah Valley University,91-c,0.91,Utah Valley,30,7,23,0.233
Valparaiso University,94-d,0.94,Valparaiso,31,6,25,0.194
Vanderbilt University,100-c,1,Vanderbilt NCAA,31,18,13,0.581
Villanova University,100-c,1,Villanova,32,23,9,0.719
