School,Metric,All Students,Student-Athletes
Grambling State University,Four-Class Average,29%,48%
Grambling State University,Student-Athlete Graduation Success Rate,,56%
Grand Canyon University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Grand Canyon University,2007-08 Graduation Rate,30%,40%
Grand Canyon University,Four-Class Average,30%,41%
Grand Canyon University,Student-Athlete Academic Success Rate,,57%
Hampton University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Hampton University,2007-08 Graduation Rate,63%,68%
Hampton University,Four-Class Average,58%,62%
Hampton University,Student-Athlete Graduation Success Rate,,64%
Harvard University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Harvard University,2007-08 Graduation Rate,98%,-
Harvard University,Four-Class Average,97%,-
Harvard University,Student-Athlete Graduation Success Rate,,98%
High Point University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
High Point University,2007-08 Graduation Rate,62%,72%
High Point University,Four-Class Average,60%,68%
High Point University,Student-Athlete Graduation Success Rate,,90%
Hofstra University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Hofstra University,2007-08 Graduation Rate,62%,57%
Hofstra University,Four-Class Average,60%,69%
Hofstra University,Student-Athlete Graduation Success Rate,,87%
Houston Christian University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Houston Christian University,2007-08 Graduation Rate,43%,59%
Houston Christian University,Four-Class Average,44%,57%
Houston Christian University,Student-Athlete Graduation Success Rate,,87%
Howard University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Howard University,2007-08 Graduation Rate,61%,71%
Howard University,Four-Class Average,64%,67%
Howard University,Student-Athlete Graduation Success Rate,,66%
Idaho State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Idaho State University,2007-08 Graduation Rate,31%,48%
Idaho State University,Four-Class Average,28%,44%
Idaho State University,Student-Athlete Graduation Success Rate,,61%
Illinois State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Illinois State University,2007-08 Graduation Rate,72%,76%
Illinois State University,Four-Class Average,71%,70%
Illinois State University,Student-Athlete Graduation Success Rate,,87%
Indiana State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Indiana State University,2007-08 Graduation Rate,42%,54%
Indiana State University,Four-Class Average,42%,54%
Indiana State University,Student-Athlete Graduation Success Rate,,60%
Indiana University Bloomington,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Indiana University Bloomington,2007-08 Graduation Rate,77%,69%
Indiana University Bloomington,Four-Class Average,74%,66%
Indiana University Bloomington,Student-Athlete Graduation Success Rate,,84%
Indiana University Indianapolis,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Indiana University Indianapolis,2007-08 Graduation Rate,44%,65%
Indiana University Indianapolis,Four-Class Average,38%,61%
Indiana University Indianapolis,Student-Athlete Graduation Success Rate,,74%
Iona University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Iona University,2007-08 Graduation Rate,63%,74%
Iona University,Four-Class Average,62%,66%
Iona University,Student-Athlete Graduation Success Rate,,87%
Iowa State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Iowa State University,2007-08 Graduation Rate,68%,55%
Iowa State University,Four-Class Average,69%,61%
Iowa State University,Student-Athlete Graduation Success Rate,,77%
Jackson State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Jackson State University,2007-08 Graduation Rate,47%,43%
Jackson State University,Four-Class Average,43%,51%
Jackson State University,Student-Athlete Graduation Success Rate,,60%
Jacksonville State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Jacksonville State University,2007-08 Graduation Rate,31%,48%
Jacksonville State University,Four-Class Average,31%,49%
Jacksonville State University,Student-Athlete Graduation Success Rate,,68%
Jacksonville University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Jacksonville University,2007-08 Graduation Rate,38%,66%
Jacksonville University,Four-Class Average,39%,57%
Jacksonville University,Student-Athlete Graduation Success Rate,,78%
James Madison University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
James Madison University,2007-08 Graduation Rate,81%,82%
James Madison University,Four-Class Average,81%,74%
James Madison University,Student-Athlete Graduation Success Rate,,81%
Kansas State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Kansas State University,2007-08 Graduation Rate,60%,65%
Kansas State University,Four-Class Average,59%,63%
Kansas State University,Student-Athlete Graduation Success Rate,,79%
Kennesaw State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Kennesaw State University,2007-08 Graduation Rate,43%,49%
Kennesaw State University,Four-Class Average,42%,53%
Kennesaw State University,Student-Athlete Graduation Success Rate,,76%
Kent State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Kent State University,2007-08 Graduation Rate,52%,75%
Kent State University,Four-Class Average,51%,67%
Kent State University,Student-Athlete Graduation Success Rate,,78%
La Salle University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
La Salle University,2007-08 Graduation Rate,65%,67%
La Salle University,Four-Class Average,67%,70%
La Salle University,Student-Athlete Graduation Success Rate,,88%
Lafayette College,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Lafayette College,2007-08 Graduation Rate,88%,87%
Lafayette College,Four-Class Average,89%,88%
Lafayette College,Student-Athlete Graduation Success Rate,,97%
Lamar University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Lamar University,2007-08 Graduation Rate,35%,48%
Lamar University,Four-Class Average,32%,45%
Lamar University,Student-Athlete Graduation Success Rate,,71%
Lehigh University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Lehigh University,2007-08 Graduation Rate,86%,78%
Lehigh University,Four-Class Average,87%,83%
Lehigh University,Student-Athlete Graduation Success Rate,,92%
Liberty University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Liberty University,2007-08 Graduation Rate,53%,76%
Liberty University,Four-Class Average,49%,68%
Liberty University,Student-Athlete Graduation Success Rate,,78%
