School,Metric,All Students,Student-Athletes
University of Tennessee at Martin,2007-08 Graduation Rate,46%,47%
University of Texas at Arlington,2007-08 Graduation Rate,42%,68%
University of Texas at Austin,2007-08 Graduation Rate,79%,69%
University of Texas at El Paso,2007-08 Graduation Rate,39%,53%
University of Texas at San Antonio,2007-08 Graduation Rate,30%,52%
University of Toledo,2007-08 Graduation Rate,46%,69%
University of Utah,2007-08 Graduation Rate,60%,64%
University of Vermont,2007-08 Graduation Rate,76%,65%
University of Virginia,2007-08 Graduation Rate,93%,78%
University of Washington,2007-08 Graduation Rate,82%,67%
University of Wisconsin-Green Bay,2007-08 Graduation Rate,46%,66%
University of Wisconsin-Madison,2007-08 Graduation Rate,83%,65%
University of Wisconsin-Milwaukee,2007-08 Graduation Rate,46%,56%
University of Wyoming,2007-08 Graduation Rate,54%,72%
University of the Incarnate Word,2007-08 Graduation Rate,40%,89%
University of the Pacific,2007-08 Graduation Rate,63%,62%
Utah State University,2007-08 Graduation Rate,51%,75%
Utah Valley University,2007-08 Graduation Rate,22%,49%
Valparaiso University,2007-08 Graduation Rate,70%,67%
Vanderbilt University,2007-08 Graduation Rate,93%,80%
Villanova University,2007-08 Graduation Rate,90%,92%
Virginia Commonwealth University,2007-08 Graduation Rate,57%,49%
Virginia Military Institute,2007-08 Graduation Rate,76%,76%
Virginia Polytechnic Institute and State University,2007-08 Graduation Rate,83%,64%
Wagner College,2007-08 Graduation Rate,61%,70%
Wake Forest University,2007-08 Graduation Rate,86%,78%
Washington State University,2007-08 Graduation Rate,65%,55%
Weber State University,2007-08 Graduation Rate,35%,48%
West Virginia University,2007-08 Graduation Rate,57%,63%
Western Carolina University,2007-08 Graduation Rate,52%,44%
Western Illinois University,2007-08 Graduation Rate,56%,70%
Western Kentucky University,2007-08 Graduation Rate,50%,50%
Western Michigan University,2007-08 Graduation Rate,55%,75%
Wichita State University,2007-08 Graduation Rate,46%,50%
William & Mary,2007-08 Graduation Rate,90%,83%
Winthrop University,2007-08 Graduation Rate,56%,63%
Wofford College,2007-08 Graduation Rate,82%,82%
Wright State University,2007-08 Graduation Rate,41%,77%
Xavier University,2007-08 Graduation Rate,76%,79%
Yale University,2007-08 Graduation Rate,98%,-
Youngstown State University,2007-08 Graduation Rate,33%,65%
