School,GSR,GSR Percentage,School_2,Overall G,Overall W,Overall L,Overall W-L%,
St. Bonaventure University,88-b,0.88,St. Bonaventure,33,20,13,0.606,
St. John's University (New York),77-c,0.77,St. John's (NY),33,20,13,0.606,
Stanford University,100-c,1,Stanford,32,14,18,0.438,
Stephen F. Austin State University,63-d,0.63,Stephen F. Austin,33,18,15,0.545,
Stetson University,60-b,0.6,Stetson NCAA,35,22,13,0.629,
Stony Brook University,92-c,0.92,Stony Brook,35,20,15,0.571,
Syracuse University,67-b,0.67,Syracuse,32,20,12,0.625,
Temple University,100-c,1,Temple,36,16,20,0.444,
Tennessee State University,89-d,0.89,Tennessee State,33,18,15,0.545,
Tennessee Technological University,100-b,1,Tennessee Tech,31,10,21,0.323,
Texas A&M University College Station,67-c,0.67,Texas A&M NCAA,36,21,15,0.583,
Texas A&M University-Corpus Christi,77-c,0.77,Texas A&M-Corpus Christi,33,21,12,0.636,
Texas Christian University,55-c,0.55,TCU NCAA,34,21,13,0.618,
Texas Southern University,100-b,1,Texas Southern,33,16,17,0.485,
Texas State University,100-c,1,Texas State,35,17,18,0.486,
Texas Tech University,78-b,0.78,Texas Tech NCAA,34,23,11,0.676,
The Citadel,55-c,0.55,The Citadel,32,11,21,0.344,
The Ohio State University,64-c,0.64,Ohio State,36,22,14,0.611,
The University of North Carolina at Charlotte,83-b,0.83,Charlotte,31,19,12,0.613,*
The University of North Carolina at Greensboro,100-c,1,UNC Greensboro,32,21,11,0.656,
The University of Southern Mississippi,58-c,0.58,Southern Mississippi,32,16,16,0.5,
The University of Texas Rio Grande Valley,71-d,0.71,Texas-Rio Grande Valley,31,6,25,0.194,
The University of Tulsa,61-d,0.61,Tulsa,31,16,15,0.516,
Towson University,91-c,0.91,Towson,34,20,14,0.588,
Troy University,92-c,0.92,Troy,32,20,12,0.625,
Tulane University,100-c,1,Tulane,31,14,17,0.452,
U.S. Air Force Academy,88-e,0.88,Air Force,31,9,22,0.29,
U.S. Military Academy,95-d,0.95,Army,32,10,22,0.313,
U.S. Naval Academy,93-c,0.93,Navy,31,13,18,0.419,
University at Albany,76-d,0.76,Albany (NY),32,13,19,0.406,
University at Buffalo the State University of New York,94-d,0.94,Buffalo,31,4,27,0.129,
University of Akron,83-c,0.83,Akron NCAA,35,24,11,0.686,
University of Alabama,100-c,1,Alabama NCAA,37,25,12,0.676,
University of Alabama at Birmingham,88-d,0.88,UAB NCAA,35,23,12,0.657,*
University of Arizona,58-c,0.58,Arizona NCAA,36,27,9,0.75,
University of Arkansas at Little Rock,64-c,0.64,Little Rock,34,21,13,0.618,
University of Arkansas Fayetteville,60-b,0.6,Arkansas,33,16,17,0.485,
University of Arkansas Pine Bluff,78-d,0.78,Arkansas-Pine Bluff,31,13,18,0.419,
University of California Berkeley,71-b,0.71,California,32,13,19,0.406,
University of California Davis,91-c,0.91,UC Davis,33,20,13,0.606,
University of California Irvine,82-c,0.82,UC Irvine,34,24,10,0.706,
University of California Los Angeles,63-b,0.63,UCLA,33,16,17,0.485,
University of California Riverside,71-c,0.71,UC Riverside,34,16,18,0.471,
University of California Santa Barbara,82-c,0.82,UC Santa Barbara,31,16,15,0.516,
University of Central Arkansas,100-c,1,Central Arkansas,32,9,23,0.281,
University of Central Florida,87-c,0.87,UCF,33,17,16,0.515,
University of Cincinnati,89-b,0.89,Cincinnati,37,22,15,0.595,
University of Colorado Boulder,69-c,0.69,Colorado NCAA,37,26,11,0.703,
University of Connecticut,91-c,0.91,Connecticut NCAA,40,37,3,0.925,
University of Dayton,90-b,0.9,Dayton NCAA,33,25,8,0.758,
University of Delaware,83-c,0.83,Delaware,33,19,14,0.576,
University of Denver,100-b,1,Denver,34,17,17,0.5,
University of Detroit Mercy,57-c,0.57,Detroit Mercy,32,1,31,0.031,
University of Evansville,92-c,0.92,Evansville,35,17,18,0.486,
University of Florida,100-b,1,Florida NCAA,36,24,12,0.667,
University of Georgia,50-b,0.5,Georgia,37,20,17,0.541,
University of Hartford,,,,,,,,
University of Hawaii Manoa,67-c,0.67,Hawaii,34,20,14,0.588,
University of Houston,90-b,0.9,Houston NCAA,37,32,5,0.865,
University of Idaho,91-c,0.91,Idaho,32,11,21,0.344,
University of Illinois Chicago,86-c,0.86,Illinois-Chicago,33,12,21,0.364,
University of Illinois Urbana-Champaign,80-b,0.8,,,,,,
University of Iowa,89-b,0.89,Iowa,34,19,15,0.559,
University of Kansas,82-c,0.82,Kansas NCAA,34,23,11,0.676,
University of Kentucky,100-a,1,Kentucky NCAA,33,23,10,0.697,
University of Louisiana at Lafayette,89-b,0.89,Louisiana,33,19,14,0.576,
University of Louisiana Monroe,95-e,0.95,Louisiana-Monroe,30,11,19,0.367,
University of Louisville,100-b,1,Louisville,32,8,24,0.25,
University of Maine,81-d,0.81,Maine,32,15,17,0.469,
University of Maryland Baltimore County,86-c,0.86,Maryland-Baltimore County,32,11,21,0.344,
University of Maryland College Park,64-c,0.64,Maryland,33,16,17,0.485,
University of Maryland Eastern Shore,73-c,0.73,Maryland-Eastern Shore,29,9,20,0.31,
University of Massachusetts Amherst,85-c,0.85,Massachusetts,31,20,11,0.645,
University of Massachusetts Lowell,89-b,0.89,Massachusetts-Lowell,32,22,10,0.688,
University of Memphis,64-c,0.64,Memphis,32,22,10,0.688,
University of Miami (Florida),92-c,0.92,Miami (FL),32,15,17,0.469,
University of Michigan,100-b,1,Michigan,32,8,24,0.25,
University of Minnesota Twin Cities,92-c,0.92,Minnesota,34,19,15,0.559,
University of Mississippi,89-b,0.89,Mississippi,32,20,12,0.625,
University of Missouri Columbia,78-b,0.78,Missouri,32,8,24,0.25,
University of Missouri-Kansas City,82-c,0.82,Kansas City,32,16,16,0.5,
University of Montana,82-c,0.82,Montana,36,24,12,0.667,
University of Nebraska at Omaha,100-c,1,Omaha,33,15,18,0.455,
University of Nebraska-Lincoln,92-c,0.92,Nebraska NCAA,34,23,11,0.676,
University of Nevada Las Vegas,92-c,0.92,Nevada-Las Vegas,34,21,13,0.618,
University of Nevada Reno,100-b,1,Nevada NCAA,34,26,8,0.765,
University of New Hampshire,90-b,0.9,New Hampshire,31,16,15,0.516,
University of New Mexico,91-c,0.91,New Mexico NCAA,36,26,10,0.722,
University of New Orleans,83-c,0.83,New Orleans,33,10,23,0.303,
University of North Alabama,50-d,0.5,North Alabama,32,15,17,0.469,
University of North Carolina Asheville,73-c,0.73,UNC Asheville,34,22,12,0.647,
University of North Carolina Chapel Hill,82-c,0.82,North Carolina NCAA,37,29,8,0.784,
University of North Carolina Wilmington,83-c,0.83,UNC Wilmington,31,21,10,0.677,*
University of North Dakota,67-c,0.67,North Dakota,32,18,14,0.563,
University of North Florida,100-b,1,North Florida,32,16,16,0.5,
University of North Texas,92-c,0.92,North Texas,34,19,15,0.559,
University of Northern Colorado,86-b,0.86,Northern Colorado,33,19,14,0.576,
University of Northern Iowa,100-c,1,Northern Iowa,33,19,14,0.576,
